Image;NoisePercent;Filter;InaccuracyPercent
1foto.pgm;5;median;53.0162
1foto.pgm;5;movingAverage;68.0091
1foto.pgm;5;expMovingAverage;66.1439
1foto.pgm;10;median;53.9045
1foto.pgm;10;movingAverage;74.4882
1foto.pgm;10;expMovingAverage;73.0395
1foto.pgm;20;median;55.771
1foto.pgm;20;movingAverage;84.1987
1foto.pgm;20;expMovingAverage;82.8423
2foto.pgm;5;median;24.4152
2foto.pgm;5;movingAverage;45.9144
2foto.pgm;5;expMovingAverage;51.4803
2foto.pgm;10;median;26.2988
2foto.pgm;10;movingAverage;57.8374
2foto.pgm;10;expMovingAverage;62.6895
2foto.pgm;20;median;30.0339
2foto.pgm;20;movingAverage;74.9056
2foto.pgm;20;expMovingAverage;78.0254
3foto.pgm;5;median;29.8032
3foto.pgm;5;movingAverage;51.6121
3foto.pgm;5;expMovingAverage;53.882
3foto.pgm;10;median;31.358
3foto.pgm;10;movingAverage;62.6729
3foto.pgm;10;expMovingAverage;65.1882
3foto.pgm;20;median;34.4397
3foto.pgm;20;movingAverage;78.4662
3foto.pgm;20;expMovingAverage;80.5606
4foto.pgm;5;median;18.3494
4foto.pgm;5;movingAverage;38.0486
4foto.pgm;5;expMovingAverage;40.2778
4foto.pgm;10;median;19.593
4foto.pgm;10;movingAverage;52.5308
4foto.pgm;10;expMovingAverage;54.8218
4foto.pgm;20;median;22.49
4foto.pgm;20;movingAverage;73.0798
4foto.pgm;20;expMovingAverage;74.0332
5foto.pgm;5;median;23.232
5foto.pgm;5;movingAverage;43.23
5foto.pgm;5;expMovingAverage;45.2108
5foto.pgm;10;median;24.3087
5foto.pgm;10;movingAverage;55.8389
5foto.pgm;10;expMovingAverage;58.2858
5foto.pgm;20;median;27.0188
5foto.pgm;20;movingAverage;74.2307
5foto.pgm;20;expMovingAverage;76.1117
